name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p,latitude,longitude
Mendoza,General Alvear,52379,44739,6815,825,27236,23158,3639,439,25143,21581,3176,386,0.8541400179461235,0.1301093949865404,0.0157505870673361,0.8502716992216185,0.1336099280364223,0.0161183727419591,0.8583303503957364,0.1263174641053175,0.015352185498946,-35.2188456896959,-67.0805881742222
Mendoza,Godoy Cruz,194557,167662,21636,5259,102772,87650,12021,3101,91785,80012,9615,2158,0.8617628766890937,0.1112064844749867,0.0270306388359195,0.8528587553030008,0.1169676565601525,0.0301735881368466,0.8717328539521708,0.1047556790325216,0.0235114670153075,-32.9320744395304,-68.9141362247952
Mendoza,Guaymallén,320871,269901,37107,13863,166140,138818,19863,7459,154731,131083,17244,6404,0.8411511168039493,0.1156446048411978,0.0432042783548528,0.8355483327314314,0.1195557963163597,0.0448958709522089,0.8471670188908493,0.1114450239447815,0.0413879571643691,-32.8929748154748,-68.7333034931406
Mendoza,Junín,46472,40423,5333,716,23787,20682,2702,403,22685,19741,2631,313,0.8698355999311413,0.1147572731967636,0.015407126872095,0.8694665153234961,0.1135914575188127,0.0169420271576911,0.8702226140621556,0.1159797222834472,0.0137976636543971,-33.1503940875751,-68.4973606539186
Mendoza,La Paz,12018,10820,1076,122,6094,5447,584,63,5924,5373,492,59,0.9003161923780996,0.0895323681144949,0.0101514395074055,0.8938299967180834,0.0958319658680669,0.0103380374138496,0.9069885212694124,0.0830519918973666,0.0099594868332207,-33.7012853202088,-67.2497236922759
Mendoza,Las Heras,233839,197341,29618,6880,120786,101132,15793,3861,113053,96209,13825,3019,0.8439182514465081,0.1266597958424386,0.0294219527110533,0.8372824665110195,0.1307519083337472,0.0319656251552332,0.8510079343316851,0.1222877765295923,0.0267042891387225,-32.5246239358788,-69.2679113756459
Mendoza,Lavalle,47086,40826,4831,1429,23671,20550,2397,724,23415,20276,2434,705,0.8670517775984369,0.102599498789449,0.030348723612114,0.8681509019475308,0.1012631490008871,0.0305859490515821,0.8659406363442238,0.1039504591074097,0.0301089045483664,-32.5754675617188,-67.8966912637568
Mendoza,Luján de Cuyo,171883,141267,23552,7064,88010,72054,12129,3827,83873,69213,11423,3237,0.8218788361850794,0.137023440363503,0.0410977234514175,0.8187024201795251,0.1378138847858198,0.0434836950346551,0.82521192755714,0.1361940076067387,0.0385940648361212,-33.0384947617689,-69.4516850524047
Mendoza,Maipú,218887,182590,27794,8503,112470,93465,14511,4494,106417,89125,13283,4009,0.8341747111523298,0.1269787607304225,0.0388465281172477,0.8310216057615364,0.1290210722859429,0.0399573219525206,0.8375071652085663,0.1248202824736649,0.0376725523177687,-32.9797495635853,-68.6563133629426
Mendoza,Malargüe,32596,29608,2632,356,16483,14965,1311,207,16113,14643,1321,149,0.9083323107129708,0.0807461038164192,0.0109215854706098,0.90790511436025,0.0795364921434205,0.0125583934963295,0.9087693167008006,0.0819834915906411,0.0092471917085583,-36.1589400383152,-69.3130810458033
Mendoza,Rivadavia,63589,57649,5139,801,32632,29558,2669,405,30957,28091,2470,396,0.906587617355203,0.0808158643790592,0.0125965182657377,0.9057979897033588,0.0817908801176759,0.0124111301789654,0.9074199696353006,0.079788093161482,0.0127919372032173,-33.4170768899779,-68.6049732994365
Mendoza,San Carlos,39752,33775,3722,2255,20154,17199,1810,1145,19598,16576,1912,1110,0.8496427852686658,0.0936305091567719,0.0567267055745622,0.8533789818398333,0.0898084747444676,0.0568125434156991,0.8458005918971324,0.0975609756097561,0.0566384324931115,-34.0755248766466,-69.0973090508602
Mendoza,San Martín,139406,120153,16619,2634,71860,61795,8704,1361,67546,58358,7915,1273,0.8618926014662209,0.1192129463581194,0.0188944521756595,0.8599359866406903,0.1211244085722237,0.018939604787086,0.8639741805584342,0.11717940366565,0.0188464157759156,-32.9140381657571,-68.2888458647488
Mendoza,San Rafael,213204,183599,24948,4657,110511,94798,13305,2408,102693,88801,11643,2249,0.8611423800679162,0.117014690155907,0.0218429297761768,0.8578150591343848,0.1203952547710182,0.0217896860945969,0.8647230093579893,0.1133767637521544,0.0219002268898561,-34.9454490543358,-68.384239783985
Mendoza,Santa Rosa,19379,17728,1503,148,9616,8763,779,74,9763,8965,724,74,0.9148046854842872,0.077558181536715,0.0076371329789978,0.9112936772046588,0.0810108153078203,0.0076955074875207,0.9182628290484482,0.0741575335450169,0.0075796374065348,-33.6169989146657,-67.9638561142682
Mendoza,Tunuyán,59972,49902,8416,1654,31019,25805,4306,908,28953,24097,4110,746,0.8320883078770093,0.1403321550056693,0.0275795371173214,0.8319094748380025,0.1388181437183661,0.0292723814436313,0.832279901909992,0.141954201637136,0.0257658964528718,-33.6228877049098,-69.5092965661889
Mendoza,Tupungato,41168,33239,5093,2836,20594,16613,2507,1474,20574,16626,2586,1362,0.8073989506412748,0.1237125923047026,0.0688884570540225,0.8066912693017384,0.1217344857725551,0.0715742449257065,0.8081073199183435,0.1256926217556138,0.0662000583260425,-33.2934009869539,-69.2962859030556
Misiones,Apóstoles,50503,42985,7072,446,25702,21820,3635,247,24801,21165,3437,199,0.8511375561847812,0.1400312852701819,0.0088311585450369,0.8489611703369387,0.1414286825927943,0.0096101470702669,0.8533930083464376,0.1385831216483206,0.0080238700052417,-27.8887539522051,-55.6781134842867
Misiones,Cainguás,59875,55527,3566,782,29720,27576,1738,406,30155,27951,1828,376,0.9273820459290189,0.0595574112734864,0.0130605427974947,0.9278600269179004,0.058479138627187,0.0136608344549125,0.9269109600397945,0.0606201293317857,0.0124689106284198,-27.1478365768268,-54.8023437852311
Misiones,Candelaria,34945,30537,3460,948,17861,15562,1780,519,17084,14975,1680,429,0.8738589211618257,0.099012734296752,0.0271283445414222,0.871283802698617,0.0996584737696657,0.0290577235317171,0.8765511589791618,0.0983376258487473,0.0251112151720908,-27.4608500546705,-55.5826900383218
Misiones,Capital,391498,332180,46512,12806,205282,173915,23720,7647,186216,158265,22792,5159,0.8484845388737619,0.1188052046242892,0.0327102565019489,0.8472004364727546,0.1155483676113833,0.037251195915862,0.8499001159943291,0.1223954977015938,0.0277043863040769,-27.5505259291655,-55.8565833366475
Misiones,Concepción,10303,9271,916,116,5195,4662,470,63,5108,4609,446,53,0.8998349995147045,0.0889061438415995,0.011258856643696,0.8974013474494706,0.0904716073147257,0.0121270452358036,0.9023101018010964,0.0873140172278778,0.0103758809710258,-27.9311673935877,-55.4670364912488
Misiones,Eldorado,91133,79817,7179,4137,46759,40927,3611,2221,44374,38890,3568,1916,0.8758298311259368,0.0787749772310798,0.0453951916429833,0.8752753480613358,0.0772257747171667,0.0474988772214974,0.8764141163744535,0.0804074458015955,0.0431784378239509,-26.3138449972573,-54.4407363386816
Misiones,General Manuel Belgrano,45456,40855,2943,1658,22653,20293,1432,928,22803,20562,1511,730,0.898781239000352,0.0647439281942977,0.0364748328053502,0.8958195382510042,0.0632145852646448,0.0409658764843508,0.9017234574398104,0.0662632109810112,0.0320133315791781,-25.9784317106931,-53.9638550967802
Misiones,Guaraní,77075,71679,3726,1670,38422,35801,1809,812,38653,35878,1917,858,0.929990269218294,0.0483425235160557,0.0216672072656503,0.9317838738222892,0.0470824007079277,0.0211337254697829,0.9282073836442192,0.0495951155149664,0.0221975008408144,-27.0262348990631,-54.2693651314473
