name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p
Buenos Aires,partido Esteban Echeverría,337880,248099,57573,32208,174144,126555,30240,17349,163736,121544,27333,14859,0.7342814016810703,0.17039481472712206,0.09532378359180774,0.726726157662624,0.17364939360529216,0.09962444873208379,0.7423169003762153,0.1669333561342649,0.09074974348951971
Buenos Aires,partido Exaltación de la Cruz,40036,29576,8557,1903,20247,15039,4218,990,19789,14537,4339,913,0.7387351383754621,0.2137326406234389,0.04753222100109901,0.7427767076603942,0.20832715957919692,0.048896132760408946,0.7346000303198746,0.21926322704532822,0.04613674263479711
Buenos Aires,partido Ezeiza,198620,147438,37258,13924,101711,74888,19222,7601,96909,72550,18036,6323,0.7423119524720572,0.18758433189004128,0.07010371563790152,0.7362822113635693,0.18898644197776052,0.07473134665867015,0.7486404771486652,0.18611274494628982,0.06524677790504493
Buenos Aires,partido Florencio Varela,488103,385644,73020,29439,249381,194443,38932,16006,238722,191201,34088,13433,0.7900873381233059,0.14959957222143686,0.06031308965525719,0.7797025434977003,0.15611453960004973,0.06418291690224998,0.8009358165564967,0.14279370983822187,0.05627047360528146
Buenos Aires,partido Florentino Ameghino,10759,9109,1488,162,5469,4639,745,85,5290,4470,743,77,0.8466400223069058,0.13830281624686308,0.015057161446231062,0.8482355092338636,0.1362223441214116,0.015542146644724813,0.8449905482041588,0.14045368620037807,0.014555765595463137
Buenos Aires,partido General Alvarado,45307,38561,5866,880,23309,19726,3107,476,21998,18835,2759,404,0.8511046858101398,0.12947226697861258,0.01942304721124771,0.8462825518040242,0.13329615170105968,0.020421296494916127,0.8562142012910264,0.12542049277207018,0.018365305936903355
Buenos Aires,partido General Alvear,10150,9464,608,78,5148,4788,312,48,5002,4676,296,30,0.9324137931034483,0.05990147783251232,0.007684729064039409,0.9300699300699301,0.06060606060606061,0.009324009324009324,0.9348260695721712,0.05917632946821272,0.0059976009596161535
Buenos Aires,partido General Arenales,16231,14211,1828,192,8311,7233,975,103,7920,6978,853,89,0.8755467931735568,0.11262399112808823,0.011829215698355,0.8702923835880159,0.11731440259896522,0.01239321381301889,0.8810606060606061,0.1077020202020202,0.011237373737373737
Buenos Aires,partido General Belgrano,20674,18561,1725,388,10695,9601,883,211,9979,8960,842,177,0.8977943310438231,0.0834381348553739,0.01876753410080294,0.8977092099111734,0.08256194483403459,0.01972884525479196,0.8978855596753181,0.08437719210341718,0.017737248221264657
Buenos Aires,partido General Guido,3157,2929,183,45,1585,1461,100,24,1572,1468,83,21,0.9277795375356351,0.05796642382008236,0.014254038644282548,0.9217665615141956,0.06309148264984227,0.015141955835962145,0.9338422391857506,0.052798982188295165,0.013358778625954198
